variant_id,model_id,canonical_name,section,product_type,brand,model,variant_name,ram_gb,storage_gb,color,manufacturer_sku,gtin,manufacturer_url,source_status,created_at,updated_at
VAR-3A34E634CB1A4C,MOD-3556FE6A740EB5,Fresh 2900 5 burners / Stainless Steel,الأجهزة المنزلية,بوتاجازات,Fresh,2900,5 burners | Stainless Steel,,,Stainless Steel,2900,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-30B43553964D7B,MOD-EF6B4202AD08A1,Fresh 500003423 5 burners / Stainless Steel,الأجهزة المنزلية,بوتاجازات,Fresh,500003423,5 burners | Stainless Steel,,,Stainless Steel,500003423,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-C8C9B349127B18,MOD-A1B9E9D9DB7DEA,Fresh 500017267 4 burners / Stainless Steel,الأجهزة المنزلية,بوتاجازات,Fresh,500017267,4 burners | Stainless Steel,,,Stainless Steel,500017267,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-145BDBCC6785EA,MOD-5751F11BB60CCB,La Germania 9C10GLA1X4AWW 5 burners / Stainless Steel,الأجهزة المنزلية,بوتاجازات,La Germania,9C10GLA1X4AWW,5 burners | Stainless Steel,,,Stainless Steel,9C10GLA1X4AWW,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-D2B81570C0AC55,MOD-5751F11BB60CCB,La Germania 9C10GLA1X4AWW Freestanding | Stainless Steel,الأجهزة المنزلية,بوتاجازات,La Germania,9C10GLA1X4AWW,Freestanding | Stainless Steel,,,Stainless Steel,9C10GLA1X4AWW,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-8BA0F9A3112834,MOD-A84F64A98DBC90,Royal Gas 2010325 5 burners / Silver,الأجهزة المنزلية,بوتاجازات,Royal Gas,2010325,5 burners | Silver,,,Silver,2010325,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-C4C274E1593535,MOD-6BC1B17B8E7564,Union Gas capitaltecheg227 4 burners / Stainless Steel,الأجهزة المنزلية,بوتاجازات,Union Gas,capitaltecheg227,4 burners | Stainless Steel,,,Stainless Steel,capitaltecheg227,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-74371A6B3BDF83,MOD-6BC1B17B8E7564,Union Gas capitaltecheg227 Freestanding | Stainless Steel,الأجهزة المنزلية,بوتاجازات,Union Gas,capitaltecheg227,Freestanding | Stainless Steel,,,Stainless Steel,capitaltecheg227,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-8C514F6EB00EB3,MOD-3D7B2342199910,Union Gas Gas Cooker 5 burners / Black,الأجهزة المنزلية,بوتاجازات,Union Gas,Gas Cooker,5 burners | Black,,,Black,,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-2284EA76A3E800,MOD-02433508F13724,Unionaire C69SSB-AC-443-IFSO-A-STEEL 5 burners / Black Silver,الأجهزة المنزلية,بوتاجازات,Unionaire,C69SSB-AC-443-IFSO-A-STEEL,5 burners | Black Silver,,,Black Silver,C69SSB-AC-443-IFSO-A-STEEL,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-21F01EF70F4318,MOD-02433508F13724,Unionaire C69SSB-AC-443-IFSO-A-STEEL Freestanding | Silver,الأجهزة المنزلية,بوتاجازات,Unionaire,C69SSB-AC-443-IFSO-A-STEEL,Freestanding | Silver,,,Silver,C69SSB-AC-443-IFSO-A-STEEL,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
